patent_type,state,year,patent_counts
plant,Ohio,1986,4
plant,Ohio,1987,12
plant,Ohio,1988,31
plant,Ohio,1989,24
plant,Ohio,1990,17
plant,Ohio,1991,7
plant,Ohio,1992,22
plant,Ohio,1993,12
plant,Ohio,1994,12
plant,Ohio,1995,7
plant,Ohio,1996,5
plant,Ohio,1997,20
plant,Ohio,1998,6
plant,Ohio,1999,5
plant,Ohio,2000,7
plant,Ohio,2001,2
plant,Ohio,2002,4
plant,Ohio,2003,1
plant,Ohio,2005,1
plant,Ohio,2006,4
plant,Ohio,2008,4
plant,Ohio,2009,1
plant,Ohio,2010,2
plant,Ohio,2011,1
plant,Ohio,2012,4
plant,Ohio,2013,1
plant,Ohio,2014,7
plant,Ohio,2015,13
plant,Ohio,2016,3
plant,Ohio,2017,2
plant,Ohio,2018,13
plant,Ohio,2019,10
plant,Ohio,2020,10
plant,Ohio,2021,1
plant,Oklahoma,1977,2
plant,Oklahoma,1981,1
plant,Oklahoma,1982,1
plant,Oklahoma,1988,2
plant,Oklahoma,1989,2
plant,Oklahoma,1990,1
plant,Oklahoma,1993,1
plant,Oklahoma,1997,1
plant,Oklahoma,1998,4
plant,Oklahoma,2000,2
plant,Oklahoma,2003,1
plant,Oklahoma,2004,2
plant,Oklahoma,2005,2
plant,Oklahoma,2006,7
plant,Oklahoma,2009,3
plant,Oklahoma,2010,1
plant,Oklahoma,2011,2
plant,Oklahoma,2012,1
plant,Oklahoma,2013,7
plant,Oklahoma,2014,6
plant,Oklahoma,2016,2
plant,Oklahoma,2019,1
plant,Oklahoma,2020,9
plant,Oklahoma,2021,2
plant,Oregon,1976,1
plant,Oregon,1977,9
plant,Oregon,1978,12
plant,Oregon,1979,4
plant,Oregon,1980,6
plant,Oregon,1981,4
plant,Oregon,1982,11
plant,Oregon,1983,6
plant,Oregon,1984,9
plant,Oregon,1985,7
plant,Oregon,1986,1
plant,Oregon,1987,21
plant,Oregon,1988,29
plant,Oregon,1989,24
plant,Oregon,1990,3
plant,Oregon,1991,7
plant,Oregon,1992,7
plant,Oregon,1993,5
plant,Oregon,1994,13
plant,Oregon,1995,14
plant,Oregon,1996,6
plant,Oregon,1997,9
plant,Oregon,1998,37
plant,Oregon,1999,17
plant,Oregon,2000,23
plant,Oregon,2001,12
plant,Oregon,2002,55
plant,Oregon,2003,19
plant,Oregon,2004,25
plant,Oregon,2005,35
plant,Oregon,2006,53
plant,Oregon,2007,35
plant,Oregon,2008,51
plant,Oregon,2009,26
plant,Oregon,2010,31
plant,Oregon,2011,46
plant,Oregon,2012,60
plant,Oregon,2013,37
plant,Oregon,2014,90
plant,Oregon,2015,56
plant,Oregon,2016,42
plant,Oregon,2017,57
plant,Oregon,2018,57
plant,Oregon,2019,41
plant,Oregon,2020,31
plant,Oregon,2021,11
plant,Oregon,2022,5
plant,Pennsylvania,1978,3
plant,Pennsylvania,1979,1
plant,Pennsylvania,1980,3
plant,Pennsylvania,1982,1
plant,Pennsylvania,1983,1
plant,Pennsylvania,1984,2
plant,Pennsylvania,1986,6
plant,Pennsylvania,1988,12
plant,Pennsylvania,1989,8
plant,Pennsylvania,1990,8
plant,Pennsylvania,1991,12
plant,Pennsylvania,1993,5
plant,Pennsylvania,1994,3
plant,Pennsylvania,1995,4
plant,Pennsylvania,1996,3
plant,Pennsylvania,1997,19
plant,Pennsylvania,1998,5
plant,Pennsylvania,1999,11
plant,Pennsylvania,2000,6
plant,Pennsylvania,2001,23
plant,Pennsylvania,2002,9
plant,Pennsylvania,2003,5
plant,Pennsylvania,2004,10
plant,Pennsylvania,2005,4
plant,Pennsylvania,2006,6
plant,Pennsylvania,2007,3
plant,Pennsylvania,2008,11
plant,Pennsylvania,2009,13
plant,Pennsylvania,2010,2
plant,Pennsylvania,2011,7
plant,Pennsylvania,2012,5
plant,Pennsylvania,2013,4
plant,Pennsylvania,2014,13
plant,Pennsylvania,2015,7
plant,Pennsylvania,2016,18
plant,Pennsylvania,2017,17
plant,Pennsylvania,2018,19
plant,Pennsylvania,2019,13
plant,Pennsylvania,2020,16
plant,Pennsylvania,2021,8
plant,Pennsylvania,2022,3
plant,Puerto Rico,1993,1
plant,Puerto Rico,1994,1
plant,Puerto Rico,2015,1
plant,Puerto Rico,2016,1
plant,Puerto Rico,2017,1
plant,Puerto Rico,2018,1
plant,Puerto Rico,2019,1
plant,Puerto Rico,2020,1
plant,Rhode Island,2000,1
plant,Rhode Island,2002,1
plant,Rhode Island,2004,1
plant,Rhode Island,2006,1
plant,Rhode Island,2008,1
plant,South Carolina,1984,1
plant,South Carolina,1985,2
plant,South Carolina,1987,1
plant,South Carolina,1988,1
plant,South Carolina,1989,3
plant,South Carolina,1991,1
plant,South Carolina,1992,1
plant,South Carolina,1994,2
plant,South Carolina,1995,1
plant,South Carolina,1998,3
plant,South Carolina,2001,2
plant,South Carolina,2002,3
plant,South Carolina,2004,5
plant,South Carolina,2007,3
plant,South Carolina,2008,8
plant,South Carolina,2009,3
plant,South Carolina,2010,15
plant,South Carolina,2011,1
plant,South Carolina,2013,1
plant,South Carolina,2014,20
plant,South Carolina,2015,1
plant,South Carolina,2016,1
plant,South Carolina,2017,6
plant,South Carolina,2018,4
plant,South Carolina,2019,15
plant,South Carolina,2020,6
plant,South Carolina,2021,4
plant,South Dakota,2006,1
plant,Tennessee,1981,2
plant,Tennessee,1982,1
plant,Tennessee,1988,2
plant,Tennessee,1989,1
